lastname,contributor_zip5,sumcontribs,city,state,county,state_fips,county_fips,latitude,longitude,fips,num_returns,total_agi_value,avg_agi,avg_agi_rank
Hickenlooper,80206,64900.99,DENVER,CO,DENVER,08,031,39.730725,-104.95321,08031,14710,2377843,161648.0625424881,708
Hickenlooper,80210,54055,DENVER,CO,DENVER,08,031,39.675449,-104.964048,08031,18070,2231407,123486.82899833978,1332
Hickenlooper,80220,53065.06,DENVER,CO,DENVER,08,031,39.731077,-104.912719,08031,18840,2146938,113956.3694267516,1596
Hickenlooper,80218,52450,DENVER,CO,DENVER,08,031,39.732367000000004,-104.971308,08031,11910,1242974,104363.89588581024,2007
Hickenlooper,80302,42223.56,BOULDER,CO,BOULDER,08,013,40.048078,-105.38018,08013,10650,1440188,135228.9201877934,1070
Hickenlooper,72712,39200,BENTONVILLE,AR,BENTON,05,007,36.343109,-94.247154,05007,23050,5996369,260146.1605206074,251
Hickenlooper,81611,35393.94,ASPEN,CO,PITKIN,08,097,39.138938,-106.779889,08097,4140,673785,162750,691
Inslee,98110,92293.62,BAINBRIDGE ISLAND,WA,KITSAP,53,035,47.647614,-122.535452,53035,11830,1913882,161782.07945900253,704
Inslee,98112,73837.49,SEATTLE,WA,KING,53,033,47.631975,-122.287411,53033,12350,2842195,230137.24696356273,326
Inslee,98115,47863,SEATTLE,WA,KING,53,033,47.683612,-122.27802200000001,53033,26740,3227976,120717.12789827972,1396
Inslee,98119,44226.47,SEATTLE,WA,KING,53,033,47.638984,-122.369214,53033,12910,1694618,131263.98140975987,1148
Inslee,98105,38425,SEATTLE,WA,KING,53,033,47.6604,-122.28053,53033,16930,2227308,131559.83461311282,1141
Inslee,98103,36150,SEATTLE,WA,KING,53,033,47.670294,-122.348306,53033,29390,3122868,106256.14154474312,1904
Inslee,98101,32110,SEATTLE,WA,KING,53,033,47.611012,-122.333523,53033,8440,1488995,176421.2085308057,595
Inslee,98004,31585,BELLEVUE,WA,KING,53,033,47.617746,-122.210797,53033,17750,4673265,263282.5352112676,239
Inslee,98199,31000,SEATTLE,WA,KING,53,033,47.651422,-122.406207,53033,11280,1824481,161744.76950354612,706
Inslee,98033,30266.6,KIRKLAND,WA,KING,53,033,47.673156,-122.197628,53033,19500,3573164,183239.17948717947,541
Klobuchar,55405,73425,MINNEAPOLIS,MN,HENNEPIN,27,053,44.967551,-93.303029,27053,8470,1053969,124435.53719008264,1315
