contributor_zip5,Sanders,Warren,winner,advantage,city,state,county,state_fips,county_fips,latitude,longitude
19131,1045.7,150,Sanders,895.7,PHILADELPHIA,PA,PHILADELPHIA,42,101,39.98925,-75.221153
94534,1045.7,1474.47,Warren,428.77,FAIRFIELD,CA,SOLANO,06,095,38.225028,-122.124457
08817,1045.66,260,Sanders,785.6600000000001,EDISON,NJ,MIDDLESEX,34,023,40.519247,-74.396829
98003,1045.64,659,Sanders,386.6400000000001,FEDERAL WAY,WA,KING,53,033,47.307764,-122.311205
12885,1045.36,0,Sanders,1045.36,WARRENSBURG,NY,WARREN,36,113,43.53363,-73.838111
00926,1045.3,0,Sanders,1045.3,SAN JUAN,PR,SAN JUAN,72,127,18.34646,-66.062461
35763,1045,549.78,Sanders,495.22,OWENS CROSS ROADS,AL,MADISON,01,089,34.629211,-86.45796
62902,1044.9,1639.08,Warren,594.1799999999998,CARBONDALE,IL,JACKSON,17,077,37.66306,-89.1171
08360,1044.37,210,Sanders,834.3699999999999,VINELAND,NJ,CUMBERLAND,34,011,39.48571,-74.97276
06351,1044.08,85,Sanders,959.0799999999999,JEWETT CITY,CT,NEW LONDON,09,011,41.578306,-71.951754
57108,1044,105,Sanders,939,SIOUX FALLS,SD,LINCOLN,46,083,43.473313,-96.689634
63353,1043,0,Sanders,1043,LOUISIANA,MO,PIKE,29,163,39.405345,-91.078755
48301,1042.9,365,Sanders,677.9000000000001,BLOOMFIELD HILLS,MI,OAKLAND,26,125,42.543752,-83.279348
08701,1042.72,638,Sanders,404.72,LAKEWOOD,NJ,OCEAN,34,029,40.072114,-74.204978
48503,1041.68,518.88,Sanders,522.8000000000001,FLINT,MI,GENESEE,26,049,43.011689,-83.684772
93405,1040.71,1485,Warren,444.28999999999996,SAN LUIS OBISPO,CA,SAN LUIS OBISPO,06,079,35.26924,-120.76007
48237,1040,410,Sanders,630,OAK PARK,MI,OAKLAND,26,125,42.466815,-83.177805
03743,1039.88,20,Sanders,1019.8800000000001,CLAREMONT,NH,SULLIVAN,33,019,43.346392,-72.32987
50036,1039.8,28,Sanders,1011.8,BOONE,IA,BOONE,19,015,42.087241,-93.853084
07029,1039.5,210.12,Sanders,829.38,HARRISON,NJ,HUDSON,34,017,40.743983,-74.15002
19064,1039.42,550,Sanders,489.4200000000001,SPRINGFIELD,PA,DELAWARE,42,045,39.932544,-75.342975
48225,1039.04,0,Sanders,1039.04,HARPER WOODS,MI,WAYNE,26,163,42.436058,-82.931724
02129,1039,1594.19,Warren,555.19,CHARLESTOWN,MA,SUFFOLK,25,025,42.38168,-71.064086
01005,1038.79,0,Sanders,1038.79,BARRE,MA,WORCESTER,25,027,42.420844,-72.10623
44240,1038.7,1319.66,Warren,280.96000000000004,KENT,OH,PORTAGE,39,133,41.135236,-81.329012
95826,1038.14,979.55,Sanders,58.590000000000146,SACRAMENTO,CA,SACRAMENTO,06,067,38.54908,-121.383143
10473,1037.99,0,Sanders,1037.99,BRONX,NY,BRONX,36,005,40.816461,-73.862173
97365,1036.64,848.92,Sanders,187.72000000000014,NEWPORT,OR,LINCOLN,41,041,44.676773,-124.014662
80122,1036.37,907.28,Sanders,129.08999999999992,LITTLETON,CO,ARAPAHOE,08,005,39.580589,-104.955751
92027,1035.4,825,Sanders,210.4000000000001,ESCONDIDO,CA,SAN DIEGO,06,073,33.138721,-116.989262
49316,1035.2,0,Sanders,1035.2,CALEDONIA,MI,KENT,26,081,42.78644,-85.545626
28226,1035,495,Sanders,540,CHARLOTTE,NC,MECKLENBURG,37,119,35.106787,-80.829246
95828,1035,150,Sanders,885,SACRAMENTO,CA,SACRAMENTO,06,067,38.488811,-121.402828
66212,1034.63,1845,Warren,810.3699999999999,OVERLAND PARK,KS,JOHNSON,20,091,38.956198,-94.681126
98277,1033.9,825.4,Sanders,208.5000000000001,OAK HARBOR,WA,ISLAND,53,029,48.321962,-122.631953
03221,1033.7,315.8,Sanders,717.9000000000001,BRADFORD,NH,MERRIMACK,33,013,43.23641,-71.960202
10704,1033.4,183,Sanders,850.4000000000001,YONKERS,NY,WESTCHESTER,36,119,40.922999,-73.863398
55124,1032.5,75,Sanders,957.5,SAINT PAUL,MN,DAKOTA,27,037,44.746486,-93.201975
97301,1032.46,2498.03,Warren,1465.5700000000002,SALEM,OR,MARION,41,047,44.958602,-123.002551
01803,1032.4,1950,Warren,917.5999999999999,BURLINGTON,MA,MIDDLESEX,25,017,42.505988,-71.204536
95139,1032.4,126,Sanders,906.4000000000001,SAN JOSE,CA,SANTA CLARA,06,085,37.224722,-121.762976
86351,1031.75,715,Sanders,316.75,SEDONA,AZ,YAVAPAI,04,025,34.769334,-111.779295
