county,fips,Booker,Buttigieg,Castro,Delaney,Gabbard,Gillibrand,Harris,Hickenlooper,Inslee,Klobuchar,Messam,O'Rourke,Sanders,Trump,Warren,Williamson,Yang
BAILEY,48017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA
BAKER,12003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1272.76,NA,NA,NA
BAKER,13007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1207.5,NA,NA,NA
BAKER,41001,NA,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1446.55,263,300,NA
BALDWIN,01003,NA,250,NA,NA,NA,NA,1000,NA,NA,NA,NA,1205,NA,35728.01,NA,550,1
BALDWIN,13009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3265.75,NA,NA,NA
BALTIMORE,24005,1000,1850,NA,22550,NA,NA,3540,2800,750,3500,NA,2106.59,6234,93581.13,4759.63,NA,320
BALTIMORE CITY,24510,NA,2735,NA,11500,264.96,300,9397.33,NA,1000,3105,NA,6373.59,3814,21617.73,2390.2,215,480.86
BAMBERG,45009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.73,NA,NA,NA
BANDERA,48019,NA,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6771.33,NA,NA,NA
BANKS,13011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2392.83,NA,NA,NA
BANNOCK,16005,NA,NA,NA,NA,NA,NA,360,NA,NA,NA,NA,NA,279,2342.95,500,NA,NA
BARAGA,26013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,NA,NA,NA
BARBER,20007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA
BARBOUR,01005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1021.75,NA,NA,NA
BARBOUR,54001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,68,NA,NA,NA
BARNES,38003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,608.25,NA,NA,NA
BARNSTABLE,25001,329.5,4100,NA,NA,NA,300,8430.68,NA,NA,720,NA,2280,1398.7,23280.97,16556.29,NA,1045
BARNWELL,45011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,425,NA,NA,NA
BARREN,21009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1553.08,216.69,NA,NA
BARRON,55005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2882.99,14368.14,NA,NA,NA
BARROW,13013,NA,NA,NA,NA,250,NA,NA,NA,NA,NA,NA,NA,44,3617.41,NA,NA,NA
BARRY,26015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7984.2,NA,NA,NA
BARRY,29009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2868.7,NA,NA,NA
BARTHOLOMEW,18005,NA,NA,NA,NA,NA,NA,250,NA,NA,NA,NA,NA,NA,7360.23,NA,NA,20
BARTON,20009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1342.75,NA,NA,NA
BARTON,29011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,470.5,NA,NA,NA
BARTOW,13015,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,14005.01,1585,NA,NA
BASTROP,48021,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,1300,NA,10295.84,500,NA,40
BATES,29013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,878.16,NA,NA,NA
BATH,21011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA
BATH,51017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,388,NA,NA,NA
BAXTER,05005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,6743.1500000000005,NA,NA,NA
BAY,12005,NA,250,NA,NA,NA,NA,NA,2500,NA,NA,NA,NA,538,36822.14,NA,NA,NA
BAY,26017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1855,4347.13,NA,NA,NA
BAYAMON,72021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,NA
BAYFIELD,55007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2814.61,NA,NA,NA
BAYLOR,48023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1320.5,NA,NA,NA
BEADLE,46005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250.71,NA,NA,91
BEAR LAKE,16007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,375,NA,NA,NA
BEAUFORT,37013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3320.21,NA,NA,NA
BEAUFORT,45013,2825,2200,NA,NA,NA,NA,1134.79,NA,NA,350,NA,2750,831,35425.3,516.7,700,5
BEAUREGARD,22011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3894.11,250,NA,NA
BEAVER,40007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1244.5,NA,NA,NA
BEAVER,42007,NA,NA,NA,NA,NA,NA,212.64,NA,NA,NA,NA,NA,198,4435.14,NA,NA,NA
BEAVERHEAD,30001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1012.21,NA,NA,NA
BECKER,27005,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,NA,215,NA,6406.490000000001,NA,NA,NA
BECKHAM,40009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4723.68,NA,NA,NA
BEDFORD,42009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3277.52,NA,NA,NA
BEDFORD,47003,NA,100,NA,NA,NA,NA,NA,NA,250,NA,NA,988.41,NA,1438.25,1083.01,NA,NA
BEDFORD,51019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265,105,8632.65,281.82,NA,NA
BEE,48025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5460,NA,NA,NA
BELKNAP,33001,NA,NA,NA,NA,NA,NA,NA,NA,250,NA,NA,NA,1053,6085.08,NA,NA,NA
BELL,21013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1260,NA,NA,NA
BELL,48027,NA,250,NA,NA,NA,NA,NA,NA,NA,250,NA,7719.09,353,37183.53,NA,NA,NA
BELMONT,39013,NA,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10133.97,NA,NA,NA
BELTRAMI,27007,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,NA,NA,NA,5788.37,204.06,NA,NA
BEN HILL,13017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2582.5,NA,NA,NA
BENEWAH,16009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,586.2,NA,NA,NA
BENNETT,46007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1800,NA,NA,NA
BENNINGTON,50003,NA,100,NA,NA,NA,2800,NA,NA,260,NA,NA,726.89,674,825.39,NA,NA,22
BENSON,38005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
BENTON,05007,NA,NA,NA,NA,210.99,NA,225,39200,NA,NA,NA,1296.59,647.99,32755.5,250,NA,538.16
BENTON,18007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164.5,NA,NA,NA
BENTON,19011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,796.75,NA,NA,NA
BENTON,27009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,863.46,NA,NA,NA
