county,fips,Booker,Buttigieg,Castro,Delaney,Gabbard,Gillibrand,Harris,Hickenlooper,Inslee,Klobuchar,Messam,O'Rourke,Sanders,Trump,Warren,Williamson,Yang
KETCHIKAN GATEWAY,02130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550,120,3424.15,250,NA,NA
KEWAUNEE,55061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,924.95,NA,NA,NA
KIMBALL,31105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365,NA,NA,NA
KIMBLE,48267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,517.12,NA,NA,NA
KING,53033,22691.9,91583,2850,5850,10184.97,7555,64940.18,12109.15,682528.49,35075,NA,40850.84,97006.54,260285.58,50485.89,3310.47,13595.74
KING AND QUEEN,51097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1071,NA,NA,NA
KING GEORGE,51099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1427.03,NA,NA,NA
KING WILLIAM,51101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1965,NA,NA,NA
KINGFISHER,40073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,8660.89,NA,NA,NA
KINGMAN,20095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,1087.4,NA,NA,NA
KINGS,06031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,11203.99,730.2,NA,NA
KINGS,36047,105618.98,47435,5799.99,1575,764.97,99768.15,96866.63,7100,4900,23107.54,NA,29714.36,63483.08,156932.45,48986.2,3125,28910.260000000002
KINGSBURY,46077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,435.15,NA,NA,NA
KINNEY,48271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225,NA,NA,NA
KIOWA,08061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,NA,NA,NA
KIOWA,20097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA
KIOWA,40075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1635.5,NA,NA,NA
KIT CARSON,08063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263.75,NA,NA,NA
KITSAP,53035,3738.25,3050,500,1143.4,NA,NA,3457.02,NA,96063.62,1075,NA,4100,7383.1,29460.59,3125,NA,554
KITTITAS,53037,NA,NA,NA,NA,NA,NA,NA,NA,500,NA,NA,NA,3637,11514.17,250,NA,NA
KLAMATH,41035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1133,10122.74,NA,NA,1
KLEBERG,48273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1519.29,NA,NA,NA
KLICKITAT,53039,NA,1000,NA,NA,NA,NA,550,NA,1250,NA,NA,NA,1413.3600000000001,1934.05,250,372,NA
KNOTT,21119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1036.75,NA,NA,NA
KNOX,17095,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,1145.1100000000001,NA,NA,NA
KNOX,18083,NA,NA,NA,NA,NA,NA,214.12,NA,NA,NA,NA,NA,279,1110.33,NA,NA,NA
KNOX,21121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,228,NA,NA,NA
KNOX,23013,NA,NA,NA,NA,319.96,NA,1004.51,NA,NA,NA,NA,NA,487,5360.85,800,NA,NA
KNOX,29103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,589.8900000000001,NA,NA,NA
KNOX,31107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1280.68,NA,NA,NA
KNOX,39083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,18221.75,NA,NA,NA
KNOX,47093,NA,2800,NA,NA,1254,NA,500,NA,NA,NA,NA,1480,2604,42494.840000000004,NA,NA,1052
KODIAK ISLAND,02150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,3442.9,NA,NA,NA
KOOCHICHING,27071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,610.8,NA,NA,NA
KOOTENAI,16055,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,1686.5,27547.75,NA,NA,500
KOSCIUSKO,18085,NA,1300,NA,NA,NA,NA,250,NA,NA,NA,NA,NA,NA,5031.37,NA,NA,2
LA CROSSE,55063,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,NA,NA,1107.99,21841.13,1000,NA,NA
LA PAZ,04012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3879,NA,NA,NA
LA PLATA,08067,NA,250,NA,NA,320,NA,185,3075,NA,NA,NA,315,350,9008.91,NA,275,NA
LA PORTE,18091,NA,1050,NA,NA,NA,NA,NA,NA,NA,500,NA,NA,154,8862.53,NA,NA,NA
LA SALLE,17099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,378,6582.21,NA,NA,NA
LA SALLE,48283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1276.93,NA,NA,NA
LABETTE,20099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA
LACKAWANNA,42069,NA,500,NA,NA,NA,NA,500,NA,NA,NA,NA,NA,360,17730.579999999998,331.64,NA,NA
LACLEDE,29105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,995,NA,NA,NA
LAFAYETTE,05073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,278,NA,NA,NA
LAFAYETTE,12067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,284.2,NA,NA,NA
LAFAYETTE,22055,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,315.4,NA,52130.96,NA,NA,NA
LAFAYETTE,28071,285,450,NA,NA,NA,NA,917.9100000000001,NA,NA,NA,NA,3100,336,5795.79,NA,NA,4
LAFAYETTE,29107,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,2707.0099999999998,NA,NA,NA
LAFAYETTE,55065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208.5,NA,NA,NA
LAFOURCHE,22057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,10832.830000000002,NA,NA,NA
LAGRANGE,18087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1904.37,NA,NA,NA
LAJAS,72079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,530,NA,NA,NA
LAKE,06033,NA,NA,NA,NA,250,NA,NA,NA,NA,NA,NA,NA,539,8904.68,300,221.8,NA
LAKE,08065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,861.5,NA,NA,NA
LAKE,12069,NA,350,NA,NA,NA,NA,NA,NA,NA,4000,NA,NA,185,61260.28,1255.21,3700,11
LAKE,17097,6900,8375,6100,1250,7416.97,2800,5602,500,NA,27220,NA,1821.99,5552.91,98318.93,8130.93,3200,2705
LAKE,18089,NA,2750,NA,NA,6650,NA,1074.18,NA,NA,NA,NA,NA,1216.4,46687.590000000004,500,NA,20
LAKE,26085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1213.25,NA,NA,NA
LAKE,27075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1303.56,NA,NA,NA
LAKE,30047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,2767.61,NA,NA,NA
LAKE,39085,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162,25884.35,375,950.44,10
LAKE,41037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.36,NA,NA,NA
LAKE,46079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1461.51,NA,NA,NA
LAKE AND PENINSULA,02164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,556.75,NA,NA,NA
LAMAR,01075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2413,NA,NA,NA
LAMAR,13171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2094.3599999999997,NA,NA,NA
LAMAR,28073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5962.9,NA,NA,NA
LAMAR,48277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1720,NA,11379.15,NA,NA,NA
LAMB,48279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,612.4,NA,NA,NA
LAMOILLE,50015,NA,NA,NA,NA,NA,NA,NA,NA,NA,550,NA,250,311,878.69,NA,NA,5
LAMOURE,38045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,NA,NA,NA
LAMPASAS,48281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225,NA,3299.7799999999997,NA,NA,NA
LANCASTER,31109,NA,1000,NA,500,NA,NA,500,NA,NA,750,NA,300,456,19547.79,1215.2,NA,50
LANCASTER,42071,NA,NA,NA,NA,500,15,100,NA,NA,500,NA,300,3635,43704.5,225,NA,20
LANCASTER,45057,NA,NA,NA,250,NA,NA,NA,NA,NA,NA,NA,600,138,7395.56,NA,NA,NA
LANCASTER,51103,NA,NA,NA,NA,NA,NA,1000,NA,NA,500,NA,500,NA,2931.5,NA,NA,NA
LANDER,32015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,848.8000000000001,NA,NA,NA
LANE,41039,NA,1250,NA,NA,1599.97,250,1636.91,NA,1750,1300,NA,1213.3899999999999,10328.9,23463.79,4453.39,3859.17,568.7
LANGLADE,55067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,948.73,NA,NA,NA
LANIER,13173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,249.16,NA,NA,NA
LAPEER,26087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7477.43,NA,NA,NA
LARAMIE,56021,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17692.62,NA,NA,NA
LARIMER,08069,600,750,NA,NA,NA,NA,961,25300,NA,1625,NA,2073.5,8269.59,37370.81,1010.23,3466.16,365
LARUE,21123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308.98,NA,NA,NA
LAS ANIMAS,08071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,932.0799999999999,NA,NA,NA
LASSEN,06035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199,3161.19,250,NA,NA
LATAH,16057,NA,NA,NA,NA,NA,NA,NA,NA,500,NA,NA,NA,4677,2524.94,300,NA,NA
LATIMER,40077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,709.72,NA,NA,NA
LAUDERDALE,01077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9371.97,NA,NA,NA
LAUDERDALE,28075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6116.09,NA,NA,NA
LAUDERDALE,47097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,252.75,NA,NA,NA
LAUREL,21125,NA,1750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2938.7799999999997,NA,NA,NA
LAURENS,13175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5362.360000000001,NA,NA,NA
LAURENS,45059,NA,NA,NA,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,1262.98,NA,NA,NA
LAVACA,48285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,285,NA,5108.74,NA,NA,NA
LAWRENCE,01079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6063.1,NA,NA,NA
LAWRENCE,05075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1073.5,NA,NA,NA
LAWRENCE,17101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2678.75,NA,NA,NA
LAWRENCE,18093,NA,NA,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,3340.75,NA,NA,NA
LAWRENCE,21127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1824.93,NA,NA,NA
LAWRENCE,28077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,975,NA,NA,NA
LAWRENCE,29109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5560.25,NA,NA,NA
LAWRENCE,39087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1933.36,NA,NA,NA
LAWRENCE,42073,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5032.66,NA,NA,NA
LAWRENCE,46081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2049.7200000000003,NA,NA,NA
LAWRENCE,47099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2355.25,225,NA,NA
LE FLORE,40079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1586.5,NA,NA,NA
LE SUEUR,27079,NA,NA,NA,NA,NA,NA,NA,NA,NA,225,NA,NA,121,1179.25,NA,NA,NA
LEA,35025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5794.62,NA,NA,NA
LEAKE,28079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.42,NA,NA,NA
LEAVENWORTH,20103,NA,NA,NA,NA,750,NA,NA,NA,NA,NA,NA,695.05,250,9873.19,NA,NA,NA
LEBANON,42075,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,230.4,347,10641.94,NA,NA,NA
LEE,01081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,373,10007.63,300,NA,33
LEE,12071,1750,6025,NA,500,500,6100,9866,NA,250,30008.85,NA,1915,2667.07,197691.68,270,NA,250
LEE,13177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,2662.86,NA,NA,NA
LEE,17103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129.20999999999998,NA,NA,15
LEE,19111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,2384.5,NA,NA,NA
LEE,21129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,NA,NA,NA
LEE,28081,NA,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,118,11951.75,NA,NA,NA
LEE,37105,NA,NA,NA,NA,NA,250,NA,NA,NA,250,NA,NA,93,4536.65,NA,NA,NA
LEE,48287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3724.67,NA,NA,NA
LEE,51105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1181.75,NA,NA,NA
LEELANAU,26089,NA,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,3998.81,NA,2700,NA
LEFLORE,28083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.57,NA,NA,NA
LEHIGH,42077,3283.9300000000003,350,NA,NA,NA,240,250,NA,NA,NA,NA,562.8,2275,27816.14,956,300,450
LEMHI,16059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2353.9,NA,NA,NA
LENAWEE,26091,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372,4954.27,NA,NA,NA
LENOIR,37107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,4687.07,NA,NA,NA
LEON,12073,NA,375,11200,NA,NA,NA,700,NA,250,1000,NA,1100,3168.52,65115.21,3130.21,NA,41
LEON,48289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,NA,1950.75,NA,NA,NA
LETCHER,21133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,644.98,NA,NA,NA
LEVY,12075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3382.6099999999997,NA,NA,NA
LEWIS,16061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2289.85,NA,NA,NA
LEWIS,21135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351.25,NA,NA,NA
LEWIS,29111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,379.9,NA,NA,NA
LEWIS,36049,NA,NA,NA,NA,262.98,NA,NA,NA,NA,NA,NA,NA,NA,675.25,NA,NA,NA
LEWIS,47101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3296.84,NA,NA,NA
LEWIS,53041,NA,NA,NA,NA,NA,NA,NA,NA,850,NA,NA,250,NA,10624.28,NA,NA,NA
LEWIS,54041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,407,NA,NA,NA
LEWIS AND CLARK,30049,580,NA,NA,NA,250,NA,NA,500,NA,500,NA,NA,4890,6797.04,250,NA,536.66
LEXINGTON,45063,300,250,NA,NA,250,300,NA,NA,NA,250,NA,233.37,1577,29315.84,583.96,NA,97.75
LEXINGTON CITY,51678,NA,350,NA,NA,NA,250,245,NA,NA,NA,NA,NA,NA,958,300,NA,10
LIBERTY,12077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1583.4,NA,NA,NA
LIBERTY,13179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3046.86,NA,NA,NA
LIBERTY,30051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.75,NA,NA,NA
LIBERTY,48291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215,NA,12540.39,NA,NA,NA
LICKING,39089,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,145,8018.2699999999995,250,NA,20
LIMESTONE,01083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7887.2,NA,NA,NA
LIMESTONE,48293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1828.05,NA,NA,NA
LINCOLN,05079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256,NA,NA,NA
LINCOLN,08073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,904.75,NA,NA,NA
LINCOLN,13181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2232.23,300,NA,NA
LINCOLN,20105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,337.64,NA,NA,NA
LINCOLN,21137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231.11,NA,NA,NA
LINCOLN,22061,NA,NA,NA,NA,355,NA,NA,NA,NA,NA,NA,1173,NA,7321.66,NA,NA,NA
LINCOLN,23015,NA,NA,NA,NA,NA,NA,336.71000000000004,NA,NA,NA,NA,NA,170,3270.61,486,NA,1
LINCOLN,27081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,NA
LINCOLN,28085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1680.5,NA,NA,NA
LINCOLN,29113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1360.9,NA,NA,21
LINCOLN,30053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,527,2746.15,500,400,NA
LINCOLN,31111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,552,NA,NA,NA
LINCOLN,32017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1155,NA,NA,NA
LINCOLN,35027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,297,28170.76,NA,NA,NA
LINCOLN,37109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215,250,8839.18,NA,NA,NA
LINCOLN,40081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2487.85,NA,NA,NA
LINCOLN,41041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,4692.47,250,NA,20
LINCOLN,46083,NA,NA,NA,NA,NA,NA,275,NA,NA,NA,NA,750,743.18,7365.01,725,NA,NA
LINCOLN,47103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,3183.44,NA,NA,NA
LINCOLN,53043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2733.69,NA,NA,NA
LINCOLN,54043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,405,250,NA,NA,NA
LINCOLN,55069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,634.81,NA,NA,NA
LINCOLN,56023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2165.24,NA,NA,NA
LINN,19113,1000,2800,NA,NA,NA,NA,350,NA,NA,NA,NA,NA,955.84,11858.34,773.36,NA,285.92
LINN,20107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1061.6,NA,NA,NA
LINN,29115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,768.1899999999999,NA,NA,NA
LINN,41043,NA,NA,NA,NA,NA,263.25,1300.6200000000001,NA,NA,NA,NA,NA,959,11210.59,NA,NA,1
LIPSCOMB,48295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,NA,225,NA,NA,NA
LITCHFIELD,09005,2840,1750,NA,NA,960,2550,1325,NA,NA,750,NA,1515,3901.94,19750.920000000002,1000,600,20
LITTLE RIVER,05081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1123.5,NA,NA,NA
LIVE OAK,48297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1214.37,NA,NA,NA
LIVINGSTON,17105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,862.15,NA,NA,NA
LIVINGSTON,22063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8658.99,NA,NA,NA
LIVINGSTON,26093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,23167.82,NA,NA,NA
LIVINGSTON,29117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1275.8600000000001,NA,NA,NA
LIVINGSTON,36051,NA,NA,NA,NA,NA,500,300,NA,NA,NA,NA,NA,NA,2564.27,245,NA,NA
LLANO,48299,NA,NA,NA,NA,NA,NA,NA,1000,NA,NA,NA,1423.55,NA,12326.33,NA,NA,NA
LOGAN,05083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1616.67,NA,NA,NA
LOGAN,08075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1168.16,NA,NA,NA
LOGAN,17107,NA,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,712.29,NA,NA,NA
LOGAN,20109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA
LOGAN,21141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.5,NA,NA,NA
LOGAN,39091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2983.53,NA,368.22,NA
LOGAN,40083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,713,NA,NA,NA
LOGAN,54045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1551.25,NA,NA,NA
LONG,13183,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,382.5,NA,NA,NA
LONOKE,05085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192.99,3870.17,NA,NA,NA
LORAIN,39093,747.49,250,NA,NA,NA,NA,NA,NA,231.05,NA,NA,250,1248,18531.75,525,NA,5
LOS ALAMOS,35028,NA,NA,NA,NA,NA,NA,500,NA,250,500,NA,NA,1629,4149.14,1550,NA,NA
LOS ANGELES,06037,290941.56,181938.59,54557.9,33053,102598.86,169474,1873012.98,38850,24585,159909.06,800,113928.7,196227.35,1240596.4,82450.48,99913.82,45353.63
LOUDON,47105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6022.41,NA,NA,NA
LOUDOUN,51107,3000,1300,NA,2000,525,NA,9100,NA,750,1005,NA,1320,4509.99,61402,3662.54,NA,1189.57
LOUISA,19115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274.93,NA,NA,NA
LOUISA,51109,NA,NA,NA,NA,NA,NA,NA,NA,NA,325,NA,NA,NA,857.5,NA,NA,NA
LOVE,40085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1085.75,NA,NA,NA
LOVING,48301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,375,NA,NA,NA
LOWNDES,01085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,NA,NA
LOWNDES,13185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,7407.35,NA,500,NA
LOWNDES,28087,NA,NA,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA,10119.75,NA,NA,NA
LUBBOCK,48303,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,NA,9759.8,559,43146.58,NA,NA,NA
LUCAS,19117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,NA,NA,NA
LUCAS,39095,NA,NA,NA,NA,NA,NA,200,NA,NA,275,NA,250,590.4,26394.3,NA,NA,251
LUCE,26095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,NA
LUMPKIN,13187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2028.05,NA,NA,NA
LUNA,35029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3509.35,NA,NA,NA
LUNENBURG,51111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,626.25,NA,NA,NA
LUZERNE,42079,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1283,32350.3,NA,NA,NA
LYCOMING,42081,NA,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281,20677.18,NA,NA,NA
LYMAN,46085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1133.74,NA,NA,NA
LYNCHBURG CITY,51680,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2739.22,NA,NA,NA
LYNN,48305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1792.5,NA,NA,NA
