zipcode,city,state,state_fips,latitude,longitude,Booker,Buttigieg,Castro,Delaney,Gabbard,Gillibrand,Harris,Hickenlooper,Inslee,Klobuchar,Messam,O'Rourke,Ryan,Sanders,Trump,Warren,Williamson,Yang,county,county_fips
95426,COBB,CA,06,38.833133,-122.71384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.5,NA,NA,NA,LAKE,033
95428,COVELO,CA,06,39.74068,-123.1797,NA,NA,NA,NA,NA,NA,250,NA,NA,NA,NA,NA,NA,100,150,275,NA,NA,MENDOCINO,045
95433,EL VERANO,CA,06,38.2987,-122.4938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.94,NA,NA,NA,SONOMA,097
95436,FORESTVILLE,CA,06,38.49652,-122.903903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,NA,500,251.85,500,NA,NA,SONOMA,097
95437,FORT BRAGG,CA,06,39.48602,-123.693637,NA,NA,NA,NA,NA,NA,1000,NA,NA,3100,NA,NA,NA,127,1671.4,NA,NA,3,MENDOCINO,045
95441,GEYSERVILLE,CA,06,38.747328,-122.883332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,NA,NA,200,NA,NA,NA,SONOMA,097
95442,GLEN ELLEN,CA,06,38.37612,-122.51655,NA,1250,NA,NA,1100,1000,1033.33,NA,NA,NA,NA,NA,NA,1000,92.5,250,NA,NA,SONOMA,097
95444,GRATON,CA,06,38.43053,-122.862309,NA,NA,NA,NA,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,14,SONOMA,097
95445,GUALALA,CA,06,38.836954,-123.445663,NA,NA,NA,NA,NA,NA,250,NA,NA,NA,NA,NA,NA,NA,4898.25,NA,NA,1,MENDOCINO,045
95446,GUERNEVILLE,CA,06,38.51898,-123.007902,NA,700,NA,NA,NA,NA,616.04,NA,NA,NA,NA,315,NA,700,407.61,NA,NA,20,SONOMA,097
95448,HEALDSBURG,CA,06,38.630114,-122.865664,NA,1500,NA,NA,NA,18425,7700,NA,250,1879.4,NA,250,NA,NA,1430.83,1304,NA,NA,SONOMA,097
95451,KELSEYVILLE,CA,06,38.943074,-122.791482,NA,NA,NA,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,404,1822.29,NA,NA,NA,LAKE,033
95452,KENWOOD,CA,06,38.428506,-122.535671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,SONOMA,097
95453,LAKEPORT,CA,06,39.045837,-122.966212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,1952.5,300,NA,NA,LAKE,033
95454,LAYTONVILLE,CA,06,39.747649,-123.482074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328,300,NA,NA,MENDOCINO,045
95456,LITTLE RIVER,CA,06,39.263503,-123.737796,NA,NA,NA,NA,NA,NA,584.83,NA,NA,NA,NA,NA,NA,NA,112.5,NA,NA,NA,MENDOCINO,045
95457,LOWER LAKE,CA,06,38.878292,-122.557231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,221.8,NA,LAKE,033
95458,LUCERNE,CA,06,39.065564,-122.787559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,698.25,NA,NA,NA,LAKE,033
95460,MENDOCINO,CA,06,39.318437,-123.70796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,1228,500,NA,NA,MENDOCINO,045
95462,MONTE RIO,CA,06,38.465888,-123.021455,NA,NA,NA,NA,NA,NA,NA,500,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,SONOMA,097
95463,NAVARRO,CA,06,39.187927,-123.546868,NA,NA,NA,NA,NA,NA,260.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MENDOCINO,045
95464,NICE,CA,06,39.100653,-122.837616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,LAKE,033
95465,OCCIDENTAL,CA,06,38.404332,-123.020779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,NA,NA,NA,NA,350,NA,SONOMA,097
95466,PHILO,CA,06,39.085907,-123.548386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,NA,3000,NA,NA,NA,NA,MENDOCINO,045
95467,HIDDEN VALLEY LAKE,CA,06,38.792546,-122.534984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,705.5,NA,NA,NA,LAKE,033
95468,POINT ARENA,CA,06,38.91046,-123.544546,NA,NA,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,MENDOCINO,045
95469,POTTER VALLEY,CA,06,39.383233,-123.068219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,NA,NA,NA,NA,MENDOCINO,045
95471,RIO NIDO,CA,06,38.523816,-122.978615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,371,NA,NA,NA,NA,SONOMA,097
95472,SEBASTOPOL,CA,06,38.401691,-122.87424,235,1500,NA,NA,NA,NA,5700,NA,NA,1800,NA,1050,1100,4040,1460.25,2775,NA,NA,SONOMA,097
95473,SEBASTOPOL,CA,06,38.4024,-122.8225,NA,5600,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,26.25,NA,NA,NA,SONOMA,097
95476,SONOMA,CA,06,38.245511,-122.462108,NA,1500,NA,NA,NA,500,725.76,2800,250,1939.7,NA,500,NA,1168,4521.56,NA,NA,NA,SONOMA,097
95482,UKIAH,CA,06,39.131039,-123.244058,NA,NA,NA,NA,NA,NA,485,NA,NA,NA,NA,270,NA,3839,5263.49,230.2,NA,NA,MENDOCINO,045
95485,UPPER LAKE,CA,06,39.215998,-122.920326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.33,NA,NA,NA,LAKE,033
95490,WILLITS,CA,06,39.487969,-123.358414,NA,NA,NA,NA,NA,NA,423.72,NA,NA,NA,NA,NA,NA,108,1430.3,NA,NA,NA,MENDOCINO,045
95492,WINDSOR,CA,06,38.54388,-122.810608,NA,NA,NA,NA,NA,500,450,NA,NA,NA,NA,250,NA,NA,4032.84,NA,NA,NA,SONOMA,097
95497,THE SEA RANCH,CA,06,38.728295,-123.474098,NA,NA,NA,NA,NA,NA,NA,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,SONOMA,097
95501,EUREKA,CA,06,40.799466,-124.1527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296,2127.33,NA,NA,NA,HUMBOLDT,023
95502,EUREKA,CA,06,40.814702,-124.080428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,476.25,NA,NA,NA,HUMBOLDT,023
95503,EUREKA,CA,06,40.721386,-124.09941,NA,NA,NA,NA,600,NA,201.04,NA,NA,NA,NA,NA,NA,629,2107.5,NA,NA,1000,HUMBOLDT,023
95514,BLOCKSBURG,CA,06,40.292948,-123.643163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,378.75,NA,NA,NA,HUMBOLDT,023
95518,ARCATA,CA,06,40.8668,-124.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,NA,NA,NA,HUMBOLDT,023
95519,MCKINLEYVILLE,CA,06,40.957484,-124.030581,NA,NA,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,1825,152.25,NA,NA,113.35,HUMBOLDT,023
95521,ARCATA,CA,06,40.839561,-124.038436,NA,NA,NA,NA,NA,NA,500,NA,250,NA,NA,NA,NA,252,374.5,NA,NA,45,HUMBOLDT,023
95524,BAYSIDE,CA,06,40.8151,-124.032775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,418.5,2620.63,NA,NA,NA,HUMBOLDT,023
95525,BLUE LAKE,CA,06,40.926246,-123.858349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.15,NA,NA,NA,HUMBOLDT,023
95531,CRESCENT CITY,CA,06,41.788207,-123.999798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5312.39,NA,NA,NA,DEL NORTE,015
95536,FERNDALE,CA,06,40.479848,-124.229739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,341.33000000000004,812.5,NA,NA,NA,HUMBOLDT,023
95540,FORTUNA,CA,06,40.585522,-124.131187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1014,2787.42,NA,NA,NA,HUMBOLDT,023
95542,GARBERVILLE,CA,06,40.131496,-123.896654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,HUMBOLDT,023
95546,HOOPA,CA,06,41.228708,-123.753834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1314,NA,NA,NA,HUMBOLDT,023
95547,HYDESVILLE,CA,06,40.550563,-124.086217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,NA,NA,NA,NA,HUMBOLDT,023
95549,KNEELAND,CA,06,40.655909,-123.891158,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,414.9,NA,NA,NA,HUMBOLDT,023
95551,LOLETA,CA,06,40.68585,-124.251,NA,NA,NA,NA,NA,NA,450,NA,NA,NA,NA,NA,NA,103,NA,NA,NA,NA,HUMBOLDT,023
95558,PETROLIA,CA,06,40.28681,-124.208755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.25,NA,NA,NA,HUMBOLDT,023
95560,REDWAY,CA,06,40.127109,-123.876829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,50,NA,NA,NA,HUMBOLDT,023
95567,SMITH RIVER,CA,06,41.936338,-124.128562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140.5,NA,NA,NA,DEL NORTE,015
95570,TRINIDAD,CA,06,41.132387,-124.047723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,607,220,NA,NA,HUMBOLDT,023
95573,WILLOW CREEK,CA,06,40.962011,-123.642928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600,26.36,NA,NA,NA,HUMBOLDT,023
95595,ZENIA,CA,06,40.20318,-123.383558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,375,NA,NA,NA,TRINITY,105
95601,AMADOR CITY,CA,06,38.430698,-120.838638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.25,NA,NA,NA,AMADOR,005
95602,AUBURN,CA,06,38.986902,-121.120194,NA,NA,NA,NA,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,1830.76,NA,NA,NA,PLACER,061
95603,AUBURN,CA,06,38.919999,-121.074776,NA,NA,NA,NA,335.98,NA,200,NA,NA,NA,NA,NA,NA,451.99,3382.27,NA,NA,NA,PLACER,061
95604,AUBURN,CA,06,38.911495,-121.080963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174.75,NA,NA,NA,PLACER,061
95605,WEST SACRAMENTO,CA,06,38.59252,-121.542299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3540,NA,NA,NA,YOLO,113
95607,CAPAY,CA,06,38.71053,-122.115569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244,NA,NA,NA,YOLO,113
95608,CARMICHAEL,CA,06,38.62315,-121.328098,22.5,NA,NA,190,NA,NA,7134.08,NA,NA,NA,NA,217.8,NA,466,6489.43,728.33,NA,1000,SACRAMENTO,067
95609,CARMICHAEL,CA,06,38.6173,-121.3275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,975,NA,NA,NA,SACRAMENTO,067
