contributor_zip5,Biden,Buttigieg,Harris,Sanders,Warren
01970,2090,1355.1,1187.43,5442.1,10652.99
01982,500,50,104,737.1,2541.5
01983,,425,275,204,2740
01984,430,1210,,,1590
01985,1000,224.16,175,146.2,818.82
02019,,,125,934.7,
02021,5780,937,150,2221,6798.28
02025,6050,1205,965.37,230.4,2816.69
02026,7720,10699,1744.74,5409.29,11593.35
02030,12141,7200,970,975,10363
02032,,,,,200
02035,131,807.97,175,245.34,3077
02038,,1624,125,2052.35,2262.27
02043,7805,10731.16,1453.4,670,11310.68
02045,250,391,1008.15,2014.54,3027.43
02048,250,863,,2813.29,2582.51
02050,250,280,250,2401.9,698
02052,2800,5700,1050,313,1777.72
02053,3300,1000,,400,1854.38
02054,,,350,1077,2039.04
02055,,,,204,
02056,1457.5,875,,3743.5,325
02061,9846,178,769.77,208,1192.2
02062,4689,3500,,3570.7,9380
02066,724,7635,1450,972.9,6572.85
02067,1350,950,4052,994,7031.25
02071,,,,148.59,
02072,137.5,,1000,250,1255
02081,1000,125,110,404,1440
02090,1555,6118,3632.73,1162,9820
02093,3050,405.56,,50,3100
02108,43874,37148.12,5860,1213.58,21629.79
02109,11539,6276,1250,3492,3915
02110,24690,11885.55,1930,1391.1,7098
02111,5650,17336.05,6600,1743,30226.57
02113,250,1255.78,510,1427.38,195
02114,9961,11355.05,9150,2871.94,19574.28
02115,15675,14416.76,2027.66,5595.61,6542
02116,78424,111984.05,37021,9149.86,30734.85
02117,,,1000,2625,15633.4
02118,21600,85313.51,15135.72,4766.74,32024.06
02119,24,683.55,750,2098.22,3490.16
02120,,1175,71,971.18,605.71
02121,2800,1000,4467.95,1033.14,2144.6
02122,4605.95,1410,375,336.4,1413.23
02124,2500,8890.46,4446.1,2653.97,10065.62
02125,375,6065.55,150,4373.04,10271.72
02126,1000,22.62,300,180,
02127,10185,15559.62,7741.68,1898,6397
02128,2800,2292.36,1550,3583.56,4026.59
02129,15400,14361.43,9095,1200,4096.47
02130,8147.33,18649.05,9527.94,15239.96,59448.01
02131,1250,1556.05,1519.14,7061.04,9038.19
02132,6746,3057.65,3980,2600,7486.03
02134,,1166.05,1259.72,7224.6,1717.37
02135,3100,7315,320,7677.77,10453.45
02136,550,325,,625.1,1522.5
02138,25809.95,65294.17,51474.66,28784.54,149146.75
02139,4101.06,16083.75,14075.27,20207.55,76202.43
02140,5857,12997.29,4330,13607.66,64973.51
02141,1250,4256.71,665,2697.34,10726.11
02142,3650,5653,1160,10318.04,7017.36
02143,655,8200.57,1871.72,9053.65,35776.87
02144,4100,7500.36,4593.52,22960.53,41848.65
02145,,5531.68,235.6,4304.69,12909.74
02148,2800,4086.22,1113.04,5013.1,6949.07
02149,459,1000,,492.57,1064.9
02150,700,2070.6,,167.7,1721.64
02151,,,394.95,1960.69,1365.72
02152,4250,2486.25,,1090,2322.8
02155,1139.33,4688.02,7489.39,9418.28,19647.38
02156,,,,,30
02163,,,,32,
02169,5384,1390.4,150,11427.51,1667.58
02170,248,196,,1304.15,1845
02171,3300,447.6,64.55,687.26,997.9
02176,3164,3989.68,785,2156.31,7960.58
02180,404,2331.28,604.91,1123.7,875
02184,6158,352.16,308.15,1901.96,2087.04
02186,4654,10231.25,4435.45,3242.31,10957.32
02188,,292.05,,38,1810
02189,1000,444.17,,1354.45,799
02190,750,1506.15,2275,311,825.46
02191,611,250,,40,329.58
02199,8925,7400,3624.82,2952,11553
02205,,,,47,
02210,10328.3,19821,8160,3579.25,7668
02215,2000,3581.96,3600,2653.56,1967.35
02222,,,,25,
02238,1250,,,,
02301,5525,375,,1638.69,3998.42
02302,250,,355,546,303.58
02303,250,,,,
02322,,,125,2081.18,288.93
02324,1600,5695,,911,474.16
02330,,,,83,
02331,,600,,,715
02332,33,7813,4150,259,5531.9
02333,105,,,288.94,1420
02338,,,,,150
02339,1090,464.05,254.84,253.8,233.82
02341,,,,1036,
02343,10,120.23,250,560.31,250
02346,250,741.68,,2642.7,1251.88
02347,426,,150,3730.68,125
02351,2600,171,,683.4,239.58
02356,6550,2265.49,550,350.98,1107.5
02359,,3639.5,,993.18,3385.5
02360,1761,1400,2850,2682.6,8062.31
02361,,,,81,
02362,,,,,1310.66
02364,1000,235,1000,703.6,1218
02367,,,,144,
02368,200,200,2000,535.18,596
02370,250,13,,659.84,
02375,1250,,1300,282,800
02379,65,,,,171.35
02382,500,479.77,428.79,-18.69,705
02420,6675,11483.54,1472.48,7903,22962.64
02421,23711.65,4356.05,8440,8668.64,34252.66
02445,29153,25525.68,15216,4056.1,59815.53
02446,9896,21703.2,9113.75,5614.48,45203.84
02447,,,1000,,
02451,3075,630,4250,8315.37,7353.22
02452,265,268.28,150,1663.18,500
02453,3865,5156,3832.65,5650.1,12205.7
02454,0,,,250,
02458,4502,20948.2,2736,3205.18,19172.51
02459,11217,17447.05,9343.73,3469,27662.36
02460,211,9100,3555.91,1811.2,10408.64
02461,850,6302.97,7102.59,2900,16173.31
02462,,,835.66,143.18,6215.13
02464,51,50,350,166,822.94
02465,12155,19638,7848,3633.94,20255.96
02466,2209,6842.21,3940,1251.05,8686.42
02467,47728,29475,7173.07,3942.4,29004.35
02468,10928.3,17423.4,10600,764,11442.16
02472,994.33,13352.26,1893,7206.52,29935.71
02474,2097,5925.09,3568.86,10568.96,29878.76
02476,5967.34,11345.44,6772.92,9246.21,39851.02
02478,23575,36751.65,9270,4256.36,28298.36
02479,2250,,,,
02481,40312,16087.37,10070.79,371.7,7642.13
02482,7795,8056.16,5500,1850,8776.98
02492,7578.3,2399.04,4375,5938.4,17505.5
02493,27920,22478,17208.32,3048.1,40081.2
02494,2234,1416.9,2240.36,1615.94,11638.53
02532,73,750,110,366.4,335
02534,,200,,,
02535,316,40178.57,7250,2182.7,6032.42
02536,,275,400,1261.7,2935.38
02537,100,139,500,408,400
02538,,-100,,,
02539,1250,17218,3545,700,1802.85
02540,568,1760,2085,298,4425.5
02543,80,,400,100,130
02554,10940,17212.5,1206,2443.14,3840.13
02556,,70,,977.34,900.42
02557,,1060,2000,59.4,98.67
02558,,500,,67.21,316
02559,275,,400,,325
02561,,,,,300
02562,250,60,250,,600
02563,,,,2936,1267
02564,2500,114.16,,,
02568,200,12995,3437.83,1553.7,1520
02571,,85,,126.9,425
02575,710,6067,2600,663,3795.42
02576,,319.7,,,105
02578,275,,,,
02584,1000,3500,,,
02601,250,1600,175,1193.34,435
02630,184,510,125,82.8,1927.24
02631,2201,546.23,380,486,5344.86
02632,437,2745.62,5095,873.1,850
02633,250,9660,7400,695.19,3334.58
02635,,2800,425,54,250
02637,350,,1150,146.03,
02638,100,580.31,,751.8,
02639,,,,1805.25,48
02641,120,,,,
02642,,325,375,698.2,915
02643,,,,203.34,250
02644,,,,130.94,1014.58
02645,1275,481.71,,302.1,4321
02646,650,1270,750,313,2085
02647,,,,,150.66
02648,3198,,200.63,2579.2,2905.51
02649,729,355,808.71,1849.5,2580.85
02650,,,366.09,,431
02651,500,150,210,299,478
02652,,6150,,399.1,
02653,,1100,135,1004,1162.35
02655,,775,2800,205.2,1804.8
02657,654,87845.04,950,836.4,6046.82
02659,,25,,500,710
02660,1545,,,62.5,150
02662,,,,,402.5
02663,,850,,,1500
02664,8350,1000,,383,825.51
02666,,9210,250,54,1833.82
02667,1250,341,1850,707.7,2945
02668,204,,,92.73,741
02670,,100,850,100,1100
02671,750,,,126,302
02673,100,3066.05,,254,750
02675,2604.95,,256.97,286.7,1688.5
02702,275,,,,
02703,632,341.23,,2257.5,819.7
02715,,255,,350,
02717,,,,200,
02718,,,,980.83,203.4
02719,95,558.3,,630,500
02720,270,,422.12,907,673.86
02721,,,,56,300
02723,,,,1761,
02724,,,,198.3,
02725,,,,,645.82
02726,,100,,700,994.08
02738,5850,1353,6815.78,527,1400
02739,520,742.05,1547.63,,2840
02740,74,239.16,2750,1837.4,2298
02741,,,,,225
02743,,312.26,,54,
02744,,,,580.18,
02745,1000,,,797.39,
02746,,,943.15,,
02747,250,204.06,,3028.01,487.58
02748,3088.7,1152.97,2834.09,313.3,4768
02760,,250,,1188,1206
02761,,,,591.3,
02762,60,100,,135,200
02763,,,,74.86,
02764,,,,119.7,
02766,119,1014.05,210,573.3,1776
02767,1115,,,207.28,75
02769,165,250,350,102.2,1133.27
02770,,1895,,1838.7,
02771,,,,828.9,2400
02777,677,470,,562.14,1040.38
02779,,800,250,535.3,2700
02780,14000,50,,2157.92,550.92
02790,1450,730,200,682.73,1563
02791,,600,,,1113
02804,,100,,,
02806,810,1418,325,1164.45,1050
02807,480,200,,794.1,
02808,,,,25,
02809,1548,6725,1200,27,2676.7
02812,,,,250,
02813,500,,686,294.7,606.9
02814,,,125,1047.14,
02816,171,290.65,933,227,184.85
02817,260,,,,
02818,238,1206.11,3303.97,2581,2547.91
02822,,100,,,
02825,33,,,1095.1,
02828,,,150,537.8,1000
02829,,,,,265
02831,234,120,150,,
02832,250,,,54,488.9
02835,2827,4150,427.82,1503,1313.97
02837,,350,393.73,132.94,1336.82
02838,,35,,30.9,
02840,4871,8151.36,965,3821,5169.77
02842,352.51,900,325,4514.62,920
02852,37,445,200,1231.52,2074.62
02857,,,435,547,175
02859,,,,81,
02860,693,50,,1951.97,1034.13
02861,495,25,,136.8,147.5
02863,,,,,250
02864,250,2425,,3239.34,131.9
02865,496,,1120,345,334.58
02871,64,,200,333,3830.2
02873,,1000,,,
02874,80,300,,1387.23,1535.5
02875,,,,,168
02876,,,,40,
02878,,6815.8,,20,1030
02879,450,2425,500,5435.4,3116.82
02880,,,,,1784.58
02881,,750,,,1210
02882,3844,490,,112.1,970.64
02883,,1753,,,
02885,,475,,829,414.59
02886,900,297.52,,1416.5,2704.75
02888,107,314.6,75,1703.32,15
02889,,85,50,1266.06,262.97
02891,407.5,1781.49,1337,978.35,830
02892,1289.13,110,,814,500
02893,284.51,1010.54,,1270.38,326
02895,,151,225,417,873.48
02896,,,200,1706.18,200
02901,,2800,,,
02903,650,10396.4,795,786.1,4284.47
02904,250,,125,,1070
02905,50,2164,300,616,810.08
02906,1793,21374.44,6285,8756.1,22181.77
02907,,,,742,
02908,,56,795,2045.94,935
02909,,371.05,750,1144.3,2475
02910,,,655,753,471.42
02911,,25,98.72,213,
02912,,,,141,300
02914,117,128,346.7,284.8,
02915,100,250,118.74,395,2002.82
02916,300,,313.12,2847.7,330
02917,,,250,218.1,
02919,,,,210.95,1035
02920,,145,,2850.15,400
02921,,2500,,200.7,20
02940,,,,,750
03031,1135,860,300,1222,600
03032,,,,612,
03033,150,350,,,291.24
03034,74,,,118,
03036,,3063.1,250,1280,300
03037,,668.05,300,242,
03038,1025,50,,1821.07,
03042,175,206.96,,581,
03043,,,205,989.64,
03044,,,,214,
03045,300,,75,390,568.82
03046,22,500,,,150
03048,,100,,305,
03049,,881.65,,888.94,1204.33
03051,,,,3640.7,
03052,,,,104,
03053,5526,,1557.48,1425.68,450
03054,219,475,555,410.88,381
03055,460,,,2021.96,867.36
03057,2700,250,,127,
03060,320,500,75,2984.57,250
03061,,,,366,175
03062,65,,500,643,550
03063,,125,,2832.65,125
03064,401,210,75,665.34,600
03070,511,50,,281,
03071,,,,100,
03076,,,,250,
03077,,,,617.04,200
03079,2850,125,1000,441.22,281
03082,,,,81,
03084,,250,,54,
03086,,858,626.83,1993,1102.79
03087,164,925,1725,578.7,250
03100,,,,27,
03101,,,3005,3731.18,700
03102,,,,3448.56,749.58
03103,50,38,,2320.14,364.27
03104,420,3926.49,3975,4266.05,5311.18
03106,,100,50,167.7,
03109,65,1463.11,,2146.45,
03110,5009.97,1690.6,862.78,1696,1644.69
03216,,,,341.7,
03217,232,,,639,
03220,,,,300,
03221,,,,1991.7,465.8
03222,,,,,250
03223,,500,,189,
03224,,,,1349,
03226,3000,,,,
03227,,1000,1000,1254.08,
03229,,1237.5,310,2184.72,2600
03231,250,,,,
03233,,75,,,230.42
03234,,,,,900
03235,,50,,,
03237,46,,62,,300
03240,,,,,250
03241,,275,,,600
03242,250,175,100,231.75,250
03244,,33,,1038.42,
03245,,14600,475,420,
03246,1063,545,372.83,195,456
03247,,,525,,
03249,,,250,1330.58,75
03251,,200,,250,
03253,30,2800,,363.75,
03254,,,,634.08,
03255,,,750,,
03257,55,425,500,47,800
03258,,275,,27,738
03260,,685,,,540
03261,,,,135,
03262,,,,300,
03264,,595,,1246,150
03266,,,,370.18,63.9
03268,,117.67,,274,
03269,,,,2419.4,250
03275,,,,312,
03276,,448.51,,1149.38,113.82
03278,,,,364.35,
03279,,129.72,,607.7,
03280,,,300,382.4,
03281,,425,,3273.17,
03282,,,,167,
03284,508,,,,
03285,,200,,167.4,165
03287,,,,120,
03290,100,436.28,,81,410.5
03301,4051,9779.68,1755,6311.5,5648.4
03302,,275,,368.44,250
03303,500,,600,2157.7,358.58
03304,,90,852,1225.23,599.39
03431,94,3526.05,860,2224.1,3936.82
03440,,,,27,147.5
03442,1000,,,,
03443,,325,,,
03444,750,,,,
03445,,,,384,
03446,,,300,,
03447,,,,,159.79
03448,,100,,,
03449,,1656.1,500,458.4,1350
03450,500,144.16,,,
03452,17,325,,127.1,300
03455,,100,,858,480
03457,143,50,,269.4,294.94
03458,5755,7600,435,5129.58,1600
03461,,1060,,,543.38
03462,,200,,2104,3300
03465,,250,,,
03466,,,400,177,350
03467,,,,54,
03470,100,81.68,,,500
03561,228,,,1483,162.61
03570,,,215,304.7,200
03574,,226,,1512.5,1305
03579,,,50,,
03580,960,250,450,52,1664.42
03583,300,,526,450,
03584,,300,,2454,
03588,,,,7,100
03593,,411.9,,,425
03597,,,,40,
03598,,,,806.64,746.64
03601,,,457.78,,
03602,,75,,186,
03603,,34,,2877,
03607,,,150,,150
03608,,5841.68,,,1000
03609,,,,182.94,
03741,,300,,733.88,1816.91
03743,,,70,1278.88,20
03745,,550,,576.21,
03746,,,,281,
03748,,500,125,161,300
03750,,125,250,56.7,1335
03751,,97.8,375,150.7,
03752,,,,583.7,
03753,104,525,475,,350
03755,2339,17305.36,2350,2025.9,14348.64
03765,,,,150,
03766,,1100,1275,1352,
03768,1000,6410,,1218,500
03770,,2125,,,
03773,,150,,1035,175
03774,,,,100,
03777,,750,,896.4,
03780,,260,,,
03781,266,700,,547.94,225
03782,,3400,1538.52,162,104.42
03784,500,1173.1,,1597,250
03785,,175,,1400,105
03801,5403.35,9127.65,4100,4564.02,4238.27
03802,,,,743,2800
03809,,28,,,
03810,,,,200,150
03811,435,250,503,437.94,590
03812,,,,,30
03813,,450,,602,75
03819,,,,135,420
03820,568,505,555,10405.68,3906
03821,,,368.87,,
03823,,125,,257,1269
03824,,1102.06,3158.74,1989,2475
03825,68,,,465.78,318.27
03827,,350,,,
03830,,,,176,
03832,,,,,300
03833,771.8,2380,818,3143.7,7517.42
03835,30,,90,217,
03836,,135,,394.2,189.42
03837,,,,436,150
03839,,,,492.94,
03840,50,385,,687.98,
03841,,,200,1685.7,250
03842,1278,375,,1464.48,291.56
03844,1250,100,375,,
03846,250,,,100,
03848,2858,,,171,
03849,,600,,,
03850,,382.28,,27,
03851,,,,,750
03853,,500,,,
03854,2255,4049,850,451,
03855,,750,202.79,1273,165
03856,,,,,185
03857,53,1421.01,75,2337,327.13
03858,,150,,39.7,200
03860,104.05,,,204.2,
03861,,405,525,720.74,2075
03862,6474,1642.73,817,2802.54,228.56
03864,,,,,1000
03865,76,,,749.88,
03866,,,,450,
03867,,846.2,125,183.7,435
03868,,,387.89,108,300
03869,,,,200,
03870,5933,2000,3450,956,1391.51
03871,,2000,,,
03872,,250,3350.37,545,
03873,,,,189,
03874,,,,327.2,
03878,6876.45,60,1500,101,405
03883,,719.05,,49,
03884,,,,54,
03885,3100,250,222.36,27,75
03886,,1350,,,1200
03887,,,,632,
03894,290,2960.2,,399.4,125
03901,,,,1070,
03902,150,350,,100,
03903,,981,507.84,277.7,300
03904,1133,50,173.5,888,593
03905,500,250,300,2427,984.58
03906,,275,,,
03907,,525,400,,
03908,,,315,383.7,495
03909,75,2332.34,,2631.5,864
03911,,867.67,,390.54,
04001,,,,,250
04002,,,,434.7,
04005,75,1300,,317,
04006,1050,500,,,
04008,,,,906.4,75
04009,,,,,69.02
04010,,,,,205
04011,1000,3139.43,450,6946.24,2921.71
04017,,,,,1175
04021,199,350,500,75,400
04022,,,68,,
04027,,,,96,197.5
04029,,,,220.7,
04032,,842.25,341,1457.24,900
04037,,,,117,
04038,,1547.61,,1807.4,100
04039,,250,,193.7,
04040,,,,54,750
04041,,,,358.55,
04042,,1000,,455,193.9
04043,400,245,225,355.6,136
04046,250,610,,232.58,236.19
04047,,256.96,,,125
04048,,,,54,
04049,,57.09,,64,
04056,,,,100,
04062,,675,500,407,350
04064,,,150,108,405
04066,,,,557,
04069,,,,127,175
04070,,,,432.14,
04071,,,,304,443.9
04072,190,60,,704.7,248.85
04073,,348.15,,2014,
04074,785,3182.25,429.52,1814.69,2705
04078,,1410,275,,2235
04079,,80,35,35.94,800
04083,,,,300.75,
04084,,,,250,
04085,,,,1001,
04086,200,460,,110,700
04088,,,,75,593.82
04090,,250,0,2937.8,250
04092,,625,,1061,860.2
04093,,,,,1926.43
04094,,,,754.14,
04095,,,,29,
04096,350,1418.35,120,4625.36,1407.5
04097,600,713.2,250,551,590
04101,1196,16179.31,2916,6799.05,4725
04102,2960.95,10306.36,,3628.84,10332.52
04103,,3646.61,1155,4550.95,2723.4
04104,,1000,,3056.19,100
04105,584,8870.9,2250,1688.78,2063
04106,400,6470,560,4529.1,1469.42
04107,435,12365.45,1500,6446.88,2910.2
04108,,1861.93,,2004.06,1540.66
04109,500,,,27,
04110,,5500,800,283,6700
04112,,1025,,,
04160,,,1200,,
04210,,300,,455.4,1383
04217,,,,194,
04219,,,,187.7,
04222,,455,,,
04236,,60,,,
04240,100,1053.12,,327,650
04250,,93.72,,5,158.04
04252,,,,188.7,
04253,50,,,305,
04254,,,,,350
04255,,,,54,
04257,,,,27,
04259,,,,227,1560.82
04260,,,,376,
04261,,,,,850
